Entidad;Sigla;Fecha de Ingreso;Pertenece al CD 2024;IGJ;AFIP;Estatuto;Nómina Actualizada;Fecha de vencimiento - NÓMINA;Presidente;Fecha de vencimiento - PRESIDENTE;CUIT;Estado del CUIT;Solicitud de ingreso;Fecha de solicitud;Provincia;Localidad;Dirección
Cámara de Comercio, Industria, Producción y Servicio del Departamento de Bermejo;;14/5/2009;Si;SI;SI;SI;Vencida;1/1/2021;Juan Francisco Álvarez;1/1/2023;30708402741;OK;;;Chaco;La Leonesa; CELSO ALEGRE 473 (CP 3518) LA LEONESA, Chaco  
Cámara de Comercio, Industria, Producción y Servicios de Chascomús;;00/00/0000;NO;NO;SI;NO;Vencida;30/3/2024;Guillermo Nuñez;19/5/2023;33624153389;OK;;;Buenos Aires;Chascomus; ALVEAR esq. Soler 101 (CP 7130) CHASCOMUS, Buenos Aires  
Cámara de Comercio, Industria, Producción y Servicios de General Acha;;00/00/0000;NO;NO;SI;NO;Vencida;30/12/2020;Sebastián Gil Gutierrez;30/12/2020;30607672713;BAJA DE OFICIO;;;La Pampa;General Acha; MARTINEZ DE HOZ (Y VICTORIANO RODR?GUEZ) 720 (CP 8200) GENERAL ACHA, La Pampa  
Cámara de Comercio, Industria, Producción y Servicios de Juan José Castelli;CACIPS;30/11/2017;Si;SI;SI;SI;Vencida;31/12/2021;Félix Rodolfo Guerrero;31/12/2021;30670110989;OK;;;Chaco;Juan Jose Castelli; Sarmiento 136 (CP 3705) JUAN JOSE CASTELLI, Chaco  
Cámara de Comercio, Industria, Producción y Servicios de Pellegrini;;28/7/2016;NO;SI;SI;SI;Vencida;31/12/2020;Edgardo Anibal Ruiz;31/12/2020;30604286820;OK;;;Buenos Aires;Pellegrini; ALSINA 118 (CP 6346) PELLEGRINI, Buenos Aires  
Cámara de Comercio, Industria, Producción y Servicios de Presidencia de la Plaza;;24/6/2009;NO;SI;SI;SI;Vencida;12/12/2020;María Natalia Uribarri;12/12/2020;30708716053;BAJA DE OFICIO;;;Chaco;Presidencia De La Plaza; Bernardo Perez y 9 de Julio S/N (CP 3536) PRESIDENCIA DE LA PLAZA, Chaco  
Cámara de Comercio, Industria, Producción y Servicios de Presidencia Roque Sáenz Peña;CCIPSSP;14/5/2009;Si;SI;SI;SI;Vigente;31/7/2024;Ramiro eduardo Trabalon Fanelli;1/6/2025;30593428237;OK;;;Chaco;; Mariano Moreno 845 P.A (CP 3700) Chaco  
Cámara de Comercio, Industria, Producción y Servicios de Tres Lomas;CE;3/9/2014;NO;SI;SI;SI;Vencida;30/6/2024;Maximiliano Bigliani;30/6/2024;30582234155;OK;;;Buenos Aires;Tres Lomas; ALMAFUERTE 171 (CP 6409) TRES LOMAS, Buenos Aires  
Cámara de Comercio, Industria, Producción y Servicios General Belgrano;;26/3/1982;NO;NO;SI;NO;Vigente;30/3/2024;Mario Roberto López;30/10/2024;30519813439;OK;;;Buenos Aires;General Belgrano; AVENIDA ESPAÑA 655 (CP 7223) GENERAL BELGRANO, Buenos Aires  
Cámara de Comercio, Industria, Producción y Turismo del Oeste del Chubut;CAMOCH;20/6/1989;NO;SI;SI;SI;Vigente;25/3/2026;Claudio David Selva;25/3/2026;30630128664;OK;;;Chubut;Esquel; Fontana 574 (CP 9200) ESQUEL, Chubut  DIREC. SEDE SOCIAL  
Cámara de Comercio, Industria, Productores y Propiedad de Puán;CCIPPP;9/12/2015;NO;NO;SI;NO;Vencida;11/10/2022;Rubén Pedro Peña;11/10/2023;30522983388;BAJA DE OFICIO;;;Buenos Aires;Puan; 28 DE JULIO 117 (CP 8180) PUAN, Buenos Aires  
Cámara de Comercio, Industria, Profesionales y Afines de Villa Rosa;CICOPROA;9/3/2016;NO;NO;SI;SI;Vencida;31/12/2019;Martin Vasile;31/12/2019;30709856061;OK;;;Buenos Aires;Pilar; RIVADAVIA 2443 (CP 1629) PILAR, Buenos Aires  
Cámara de Comercio, Industria, Profesionales y Bienes Raíces de José María Ezeiza;;19/8/1993;NO;SI;SI;NO;Vencida;10/5/2024;Sabrina Gabriela Martinez;10/5/2024;30631978807;OK;;;Buenos Aires;Ezeiza; E. ECHEVERRIA 169 (CP 1804) EZEIZA, Buenos Aires  
Cámara de Comercio, Industria, Profesionales y Bienes Raíces de la Ciudad de Grand Bourg;CGB;00/00/0000;NO;NO;NO;NO;Vencida;1/1/2021;José Alberto Guzmán;1/1/2021;30678876557;CONSTANCIA BLOQUEADA;;;Buenos Aires;Grand Bourg; EL PLUMERILLO 1541 (CP 1615) GRAND BOURG, Buenos Aires  
Cámara de Comercio, Industria, Profesionales y Vecinos de Caballito;CAM-CAB;29/6/2017;NO;SI;SI;SI;Vencida;30/6/2022;Hugo Jorge Colombo;30/6/2022;30709682233;BAJA DE OFICIO;;;CABA;; José M. Moreno 93 5 (CP 1424) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio, Industria, Profesionales, y Prestadores de Servicio de Villa Pueyrredón;;00/00/0000;NO;NO;NO;NO;Vencida;30/6/2020;Andrea Iszara;30/6/2020;30677120149;BAJA DE OFICIO;;;CABA;; NAZCA AVENIDA 5195 PB (CP 1419) Ciudad Autónoma de Buenos Aires  
Cámara de Comercio, Industria, Servicios y Producción de Quemú Quemú;CCISyP;29/9/2011;NO;SI;SI;NO;Vencida;31/12/2023;Sergio Farchetto;31/12/2023;30671645703;BAJA DE OFICIO;SI;31/08/2011;La Pampa;Quemu Quemu; french 238 (CP 6333) QUEMU QUEMU, La Pampa  
Cámara de Comercio, Industria, Servicios y Turismo de Pigüé;;24/11/1981;NO;NO;SI;NO;Vigente;1/9/2025;Dellapittima Cesar Marcelo;30/9/2025;30575651964;OK;SI;27/10/1981;Buenos Aires;Pigue; BELGRANO 405 (CP 8170) PIGUE, Buenos Aires  
Cámara de Comercio, Industria, Servicios, Producción y Turismo de Cutral Có y Plaza Huincul;CCICCOPH;29/11/1984;NO;SI;SI;SI;Vigente;27/1/2026;Roberto Saez;27/1/2026;30595779932;OK;SI;21/11/1984;Neuquén;Cutral-co; AVENIDA ROCA (Y CARLOS RODRÍGUEZ) 408 1 (CP 8322) CUTRAL-CO, Neuquén  
Cámara de Comercio, Industria, Turismo y Afines de Junín de Los Andes;;27/6/2018;Si;SI;SI;SI;Vencida;5/1/2025;Ricardo Pomporio;27/12/2023;30653913725;OK;SI;06/06/2018;Neuquén;Junin De Los Andes; JULIO ARGENTINO ROCA 451 1Â° (CP 8371) JUNIN DE LOS ANDES, Neuquén  
Cámara de Comercio, Industria, Turismo y Servicio de Libertador General San Martín;C.C.I.T.P.S.L.G.S.M;1/7/2012;NO;SI;SI;SI;Vigente;24/11/2024;Luis Edgardo Steffen;10/12/2025;30672497619;OK;SI;21/12/20;Misiones;Puerto Rico; AVENIDA SAN MARTIN 2455 Local 1 (CP 3334) PUERTO RICO, Misiones  
Cámara de Comercio, Producción y Servicios de Juan José Paso;;3/12/1985;NO;SI;SI;SI;Vencida;1/1/2021;Carlos Gorosito;1/1/2021;30594060578;OK;SI;3/12/1985;Buenos Aires;Juan Jose Paso; BELGRANO 2178 (CP 6474) JUAN JOSE PASO, Buenos Aires  
Cámara de Comercio, Producción, Industria y Servicios de General Pinedo;CCPI y S;18/5/2009;NO;SI;SI;SI;Vencida;13/10/2023;Rubens Edgar Ledesma;13/10/2023;30707441409;OK;;;Chaco;General Pinedo; CALLE 14 ESQUINA 13 Sin Nro. (CP 3732) GENERAL PINEDO, Chaco  
Cámara de Comercio, Servicios, Industria y Producción de Coronel Du Graty;CCSIP;24/6/2009;NO;SI;SI;SI;Vencida;31/8/2023;Javier Ernesto Koberstein;31/8/2023;33714498059;OK;SI;17/05/2009;Chaco;Coronel Du Graty; SARMIENTO 180 (CP 3541) CORONEL DU GRATY, Chaco  
Cámara de Comercio, Turismo, Industria y Producción de Ituzaingó;;11/9/2014;NO;SI;NO;NO;Vencida;30/12/2019;Gerónimo Enrique Peno;30/12/2019;30675539320;BAJA DE OFICIO;NO;;Corrientes;Ituzaingo; POSADAS 1356 (CP 3302) ITUZAINGO, Corrientes  
Cámara de Comercio, Turismo, Industria y Producción de Viedma;CCTIyPV;26/10/1995;NO;NO;SI;NO;Vigente;1/9/2025;Martin Lemos;1/9/2025;30629794472;OK;SI;12/11/1995;Río Negro;Viedma; BUENOS AIRES 53 PB (CP 8500) VIEDMA, Río Negro  
Cámara de Comercio, Turismo, Industria y Producción de Villa La Angostura;CCTIPVLA;17/7/2018;NO;SI;SI;SI;Vigente;1/7/2025;Monica Gonzalez;1/7/2025;30672963474;OK;SI;03/05/2018;Neuquén;La Angostura; CERRO INACAYAL 586 (CP 8407) LA ANGOSTURA, Neuquén  Esq. Las Frutillas - BÂ° El Once  
Cámara de Distribuidores de Productos Veterinarios;CADISVET;21/12/2020;NO;SI;SI;SI;Vigente;25/08/2023;Alberto Paz Polito;25/12/2025;30709934674;OK;SI;6/11/2020;CABA;; LOPEZ CARLOS ANTONIO 4155 (CP 1419) Ciudad Autónoma de Buenos Aires  
Cámara de Distribuidores de Tabacos de la República Argentina;CDTRA;14/9/2017;NO;SI;SI;SI;Vigente;30/10/2025;German Etchevers;30/10/2025;30527161866;OK;SI;25/07/2017;CABA;; Guatemala 4564 (CP 1425) Ciudad Autónoma de Buenos Aires  
Cámara de Emisores Regionales de Tarjetas de Crédito y Consumo No Bancarias;CERTACYC;29/6/2017;NO;SI;SI;SI;Vencida;27/6/2020;Eduardo Busacca;27/6/2020;30712193952;OK;SI;12/06/2017;CABA;;Av. de Mayo 605 10º piso Of. A (C1084AAB) Ciudad Autónoma de Buenos Aires
Cámara de Empresarios Coreanos en la Argentina;CAEMCA;20/10/2016;NO;SI;SI;SI;Vigente;31/12/2023;Gabriel Park Hanjoon;31/12/2026;30714629413;OK;SI;20/09/2016;CABA;; CONCORDIA 540 3 C (CP 1407) Ciudad Autónoma de Buenos Aires  
Cámara de Empresarios de Joyerías y Afines de la República Argentina;CEJARA;29/12/1998;NO;NO;SI;NO;Vencida;31/12/2023;Luis Tedeschini;15/11/2019;30515612757;OK;SI;15/12/1998;CABA;; BARTOLOME MITRE 1371 Piso 4 Dpto. L (CP 1036) Ciudad Autónoma de Buenos Aires  
Cámara de Empresarios de Tostado;CET;18/12/2008;NO;SI;SI;SI;Vigente;11/6/2026;Silvina Patricia Pérez;11/5/2026;30674383580;OK;SI;18/09/2008;Santa Fe;Tostado; 12 DE OCTUBRE 1522 (CP 3060) TOSTADO, Santa Fe  
Cámara de Empresarios de Transporte para Turismo y Oferta Libre;CETTOL;28/6/2012;NO;SI;SI;SI;Vencida;30/6/2020;Marcelo Azcarate;30/6/2020;30711887675;OK;SI;21/05/2012;CABA;; SAENZ PEÑA ROQUE PRESIDENTE AVENIDA 885 3? Of. H (CP 1035) Ciudad Autónoma de Buenos Aires  
Cámara Solidaria del Hogar;;00/00/0000;NO;NO;SI;NO;Vencida;31/08/2016;Eduardo El Eter;31/12/2023;#N/D;;NO;;Tucumán;San Miguel De Tucuman; BUENOS AIRES 459 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Cámara de Empresarios Madereros y Afines;CEMA;5/2/2009;NO;SI;SI;SI;Vigente;29/8/2026;Hugo Ricciuti;29/8/2026;30559788445;OK;SI;12/01/2009;CABA;; JUAN E. MAZA 578 Piso 1 (CP 1220) Ciudad Autónoma de Buenos Aires  
Cámara de Empresarios Pintores y de Restauraciones Afines de la República Argentina;CEPRARA;13/7/2017;NO;SI;SI;SI;Vigente;1/11/2022;Aldo Zanetti;30/11/2024;30584660305;OK;SI;09/05/2017;CABA;; ZELARRAYÁN 537 (CP 1424) Ciudad Autónoma de Buenos Aires  
Cámara de Empresas de mensajería por Moto y afines de la República Argentina;CEMMARA;16/4/2004;Si;SI;SI;SI;Vencida;29/4/2022;Mario Dante Oriente;29/4/2022;30701282260;OK;;;CABA;; Mexico 1173 1 4 (CP 1097) Ciudad Autónoma de Buenos Aires  
Cámara de Empresas de Monitoreo de Alarmas de la República Argentina;CEMARA;1/1/2005;NO;SI;SI;SI;Vigente;25/10/2023;Armando Marinozzi;1/12/2025;30692157261;OK;SI;03/05/2016;CABA;; Av. Belgrano 1315 6 (CP 1093) Ciudad Autónoma de Buenos Aires  
Cámara de Empresas de Seguridad de Buenos Aires;CAESBA;12/6/2019;NO;SI;SI;SI;Vigente;23/05/2024;Walter Rogerio Smith;24/05/2026;30699985623;OK;SI;04/06/2019;Buenos Aires;La Plata; AVENIDA 44 862 (CP 1900) LA PLATA, Buenos Aires  Entre 1 y 2  
Cámara de Empresas de Servicios de Turismo Cinegético y Pesca Deportiva de la Provincia de Santa Fe;TUCISFE;1/12/2011;NO;SI;NO;SI;Vencida;1/1/2021;Aldo Adrián Machin;1/1/2021;30710627726;BAJA DE OFICIO;SI;21/11/2011;Santa Fe;Santa Fe; San Luis 3077 (CP 3000) SANTA FE, Santa Fe  
Cámara de Empresas de Servicios Petroleros de Río Negro;CASEPE;5/12/2013;NO;SI;NO;SI;Vencida;30/12/2017;Ramiro Ernesto Arceo;1/2/2024;30714086991;BAJA DE OFICIO;SI;11/11/2013;Río Negro;Catriel; SAN MARTIN AVENIDA 182 Loc 2 (CP 8307) CATRIEL, Río Negro  
Cámara de Empresas Informáticas del Litoral;CEIL;3/12/2009;NO;NO;SI;SI;Vencida;15/09/2021;Gustavo Jorge Barragán;15/09/2021;30698257438;BAJA DE OFICIO;SI;11/11/2009;Santa Fe;Rosario; CORDOBA 1868 (CP 2000) ROSARIO, Santa Fe  
Cámara de Empresas PYME Regionales Elaboradoras de Biocombustible;CEPREB;22/8/2013;NO;NO;SI;SI;Vencida;1/11/2018;Alejandro Luis Abad;1/11/2018;30714057652;CUIT ERRONEO;SI;01/07/2013;CABA;; Viamonte 634 2 (CP 1053) Ciudad Autónoma de Buenos Aires  
Cámara de Fabricantes de Inyectables de Gran Volumen de la República Argentina;CIGVA;00/00/0000;NO;NO;NO;NO;Vencida;31/12/2023;Victoria Augusta Rivero Segura;31/12/2023;30656200762;BAJA DE OFICIO;NO;;CABA;; LAVALLE 557 Piso 6 (CP 1047) Ciudad Autónoma de Buenos Aires  
Cámara de Fabricantes de Medias y Afines;CAFAMA;18/8/2011;Si;SI;SI;SI;Vencida;30/8/2022;Damián Regalini;26/8/2023;30711215405;OK;;;CABA;; Condor 2213 (CP 1437) Ciudad Autónoma de Buenos Aires   FRAGA 1209 (CP 1427) Ciudad Autónoma de Buenos Aires  
Cámara de Fabricantes de Muebles, Tapicerías y Afines de Argentina;CAFYDMA;7/9/2007;NO;SI;SI;SI;Vigente;04/01/2023;Pedro Francisco Reyna;22/03/2025;30594077845;OK;SI;15/05/2007;CABA;; Algarrobo 1041 (CP 1293) Ciudad Autónoma de Buenos Aires  
Cámara de Fabricantes y Proveedores de Equipos Electrónicos y Afines de Tucumán;CAFPEE;19/02/2014;NO;SI;NO;SI;Vencida;30/11/2020;Carlos N. Córdoba;23/11/2020;0;SIN CUIT;SI;19/02/2014;Tucumán;San Miguel De Tucuman; PERU 580 (CP 4000) SAN MIGUEL DE TUCUMAN, Tucumán  
Cámara de Ferreterías y Afines de la República Argentina;CAFARA;6/8/1984;NO;NO;SI;NO;Vigente;27/6/2025;Sergio Angiuli;27/6/2025;30527154800;OK;SI;06/08/1984;CABA;;" LAVALLE 1646 Piso 3 Dpto. ""A"" (CP 1048) Ciudad Autónoma de Buenos Aires  "
Cámara de Ferreterías, Bazares y Afines de San Juan;;2/12/1983;NO;NO;NO;NO;Vencida;30/11/2016;Guillermo Daniel Cabrera;30/11/2016;0;SIN CUIT;SI;24/11;San Juan;San Juan; AVENIDA LIBERTADOR SAN MART 575 1º (CP 5400) SAN JUAN, San Juan  
Cámara de Ferreterías, Sanitarios, Hierros y Afines;CFSHyA;19/7/2017;NO;SI;SI;SI;Vigente;31/05/2026;Agustin Requena;31/5/2026;30655311587;OK;SI;19/07/1917;Córdoba;Cordoba; Domingo Zípoli 2050 (CP 5008) CORDOBA, Córdoba  
Cámara de Fruteros y Anexos de Santa Fe;;8/3/2012;NO;NO;SI;SI;Vencida;1/1/2021;Sergio Caballero;1/1/2021;30678375205;OK;SI;S/F;Santa Fe;Santa Fe; Mendoza 3459 (CP 3000) SANTA FE, Santa Fe  
Cámara de Hotelería, Gastronomía,Comercio, Turismo, Industria y Actividades Afines de El Calafate;;3/12/2004;NO;SI;SI;SI;Vigente;1/12/2025;Maria Cecilia Smart;1/12/2025;30673666007;OK;SI;S/F;Santa Cruz;El Calafate; JULIO A. ROCA 1366 (CP 9405) EL CALAFATE, Santa Cruz  
Cámara de Hoteles y Afines;CHA;13/9/1994;NO;NO;SI;NO;Vigente;31/8/2027;Alfonso Oscar Bonabía;31/8/2027;30561676077;OK;SI;23/09/1994;CABA;CABA; COMBATE DE LOS POZOS 256 P.B. (CP 1080) Ciudad Autónoma de Buenos Aires  
Cámara de Importadores de la República Argentina;CIRA;00/00/0000;NO;SI;SI;NO;Vencida;31/12/2023;Oscar Obdulio Pérez;31/12/2023;30525701979;OK;NO;;CABA;; BELGRANO 427 Piso 7 Of.46 (CP 1092) Ciudad Autónoma de Buenos Aires  
Cámara de Industria y Comercio de Allen;CICA;1/9/2011;NO;SI;SI;SI;Vencida;4/5/2021;Carlos Espinel;4/5/2021;30646312007;OK;SI;21/06/2011;Río Negro;Allen; LEONARDO N. ALEM 339 (CP 8328) ALLEN, Río Negro  
Cámara de Industria y Comercio de Cipolletti;CIC;23/6/2011;NO;NO;SI;SI;Vencida;30/11/2020;José Luis Bünter;30/11/2020;30598792352;BAJA DE OFICIO;SI;02/06/2011;Río Negro;Cipolletti; URQUIZA 360 (CP 8324) CIPOLLETTI, Río Negro  
Cámara de Industria y Comercio de Formosa;CICF;11/5/1994;Si;SI;SI;SI;Vigente;12/4/2026;Marcos Ariel Amarilla Venturini;12/4/2026;30671357783;OK;;;Formosa;Formosa; BRANDSEN 774 (CP 3600) FORMOSA, Formosa  
Cámara de Industria y Comercio de Matanza;CICM;19/4/2004;Si;SI;SI;SI;Vigente;30/9/2024;Francisco Lamanna;30/9/2024;30564666129;OK;;;Buenos Aires;San Justo; ENTRE RIOS 3026 (CP 1754) SAN JUSTO, Buenos Aires  
Cámara de Industria y Comercio del Este del Chubut;CICECH;26/9/1981;NO;SI;SI;SI;Vigente;13/07/2025;Cesar D. Pailacura;13/7/2025;30533171040;OK;SI;02/06/2011;Chubut;Trelew; AVENIDA FONTANA 355 (CP 9100) TRELEW, Chubut  
Cámara de Industria, Comercio y Producción de Cinco Saltos;CICP;21/5/1982;NO;SI;SI;SI;Vigente;30/9/2024;Elena Miriam Ávila;30/9/2024;30672811674;OK;SI;19/07/2017;Río Negro;Cinco Saltos; LAPRIDA 89 (CP 8303) CINCO SALTOS, Río Negro  
Cámara de Industria, Comercio y Turismo de la Ciudad de Tolhuin;CINCOTUR;2/10/2014;NO;SI;SI;SI;Vencida;31/12/2019;Nélida Rosa Antunez;31/12/2019;30714596086;OK;SI;16/09/2014;Tierra del Fuego;Tolhuin; Lucas Bridges 298 (CP 9412) TOLHUIN, Tierra del Fuego  
Cámara de Industria, Comercio, Producción y Turismo de Puerto Madryn;CAMAD;26/7/1982;NO;SI;SI;SI;Vigente;1/11/2025;Pablo Tedesco;30/11/2025;30640727000;OK;SI;26/07/1982;Chubut;Puerto Madryn; PAULINA ESCARDO (Y GOB. GALINA) sin nro. (CP 9120) PUERTO MADRYN, Chubut  
Cámara de Industria, Comercio, Producción y Turismo de Rawson;CARAW;00/00/0000;NO;SI;SI;SI;Vencida;4/3/2023;Néstor Feu;31/7/2023;30707531661;OK;NO;-;Chubut;Rawson; PASAJE JUAN MUZZIO 922 (CP 9103) RAWSON, Chubut  
Cámara de Industriales de la Moto;CIMO;11/11/2010;NO;SI;NO;SI;Vencida;30/12/2016;Héctor Honorio Chiapero;30/12/2016;0;SIN CUIT;SI;-;CABA;; PARAGUAY 5259 Piso 7 Dto. A (CP 1425) Ciudad Autónoma de Buenos Aires   Balcarse 260 2 F (CP ) Ciudad Autónoma de Buenos Aires  
Cámara de Industrias Electrónicas, Informáticas y de Comunicaciones del Centro de Argentina;CIIECCA;26/4/2012;NO;NO;SI;SI;Vigente;31/7/2025;Hector Raul Valerio;31/7/2025;33707786669;OK;;;Córdoba;; Abad E Illana 85 (CP ) Córdoba  
Cámara de Informática y Comunicaciones de la República Argentina;CICOMRA;00/00/0000;NO;NO;SI;NO;Vencida;30/12/2023;Norberto Capellán;30/12/2023;30613187207;OK;;;CABA;;" AVENIDA CORDOBA 744 Piso 2Âº Dpto. ""D"" (CP 1054) Ciudad Autónoma de Buenos Aires  "
Cámara de la Construcción e Inmobiliaria de San Juan;;7/6/2007;NO;NO;SI;NO;Vencida;31/12/2019;Miguel Alejandro Herrero;31/12/2019;30691889927;CONSTANCIA BLOQUEADA;;;San Juan;San Juan; AVENIDA LIBERTADOR SAN MART 575 - Este (CP 5400) SAN JUAN, San Juan  
Cámara de la Fruta Industrializada de Mendoza;CAFIM;5/8/2020;NO;NO;SI;NO;Vigente;30/9/2024;Raul  Eduardo Giordano;30/9/2024;30535569491;OK;;;Mendoza;Mendoza; Rioja 1550 P.B. 5/6 (CP 5500) MENDOZA, Mendoza  
Cámara de la Industria de Artículos de Librería;CIAL;00/00/0000;Si;SI;SI;SI;Vigente;31/10/2024;Marco Selan;30/10/2024;33585248539;OK;;;CABA;;" HIPOLITO YRIGOYEN 1994 Piso 3 Of. ""3"" (CP 1089) Ciudad Autónoma de Buenos Aires  "
Cámara de la Industria del Calzado;CIC;22/8/2017;SI;SI;SI;SI;Vigente;26/10/2023;Hector Alberto Sellaro;26/10/2024;33526833169;OK;;;CABA;; Av Rivadavia 4323 (CP 1205) Ciudad Autónoma de Buenos Aires  
Cámara de la Industria Fotográfica Argentina;CIFA;29/1/2004;NO;NO;SI;SI;Vencida;1/1/2021;José Russo;1/1/2021;30642217999;BAJA DE OFICIO;;;CABA;; Av. San Juan 2874 (CP 1232) Ciudad Autónoma de Buenos Aires  
Cámara de la Industria Traumatológica;CADIT;9/10/2019;NO;SI;SI;SI;Vigente;31/12/2027;Leonardo Venturelli;31/12/2027;30714494607;OK;;;CABA;; Viamonte 1453 8 Of: 54 (CP 1055) Ciudad Autónoma de Buenos Aires  
Cámara de la Industria, Diseño, Indumentaria y Textil del Chaco;CIDITECH;28/5/2009;NO;NO;NO;NO;Vencida;1/1/2021;Oscar Fabián Barreto;1/1/2021;30711475628;CONSTANCIA BLOQUEADA;;;Chaco;Resistencia; GARCIA MERAU 132 (CP 3500) RESISTENCIA, Chaco  
Cámara de la Piedra de la Provincia de Buenos Aires;;00/00/0000;NO;NO;SI;NO;Vencida;31/12/2019;Gustavo Arturo Nuñez;30/12/2022;33682366309;OK;;;Buenos Aires;; RECONQUISTA 715 6 c (CP 1003) Ciudad Autónoma de Buenos Aires  
Cámara de la Producción, Industria y Comercio de Quitilipi;CPICQ;28/5/2009;NO;SI;SI;SI;Vencida;31/10/2021;José Miguel Villacorta;30/12/2023;30707049401;BAJA DE OFICIO;;;Chaco;Quitilipi; LA RIOJA 270 (CP 3530) QUITILIPI, Chaco  
Cámara de Laboratorios Argentinos Medicinales Veterinarios;CLAMEVET;1/9/2005;NO;SI;SI;NO;Vigente;30/6/2025;Jorge Casim;30/6/2025;30709474940;OK;;;Buenos Aires;Vicente Lopez; MAIPU 1536 1 (CP 1638) VICENTE LOPEZ, Buenos Aires  
Cámara de Microempresarios de Lanús;CaMiLanus;7/3/2008;NO;SI;SI;SI;Vencida;11/4/2023;Carla Colman;11/4/2023;30707790233;OK;;;Buenos Aires;Remedios De Escalada; MINISTRO BRIN 3752 (CP 1826) REMEDIOS DE ESCALADA, Buenos Aires  
Cámara de Operadores Mayoristas Frutihortícolas del Mercado Central;COMAFRU;15/9/2004;NO;NO;NO;NO;Vencida;1/1/2021;Fabián Rodolfo Zeta;1/1/2021;33694495279;CONSTANCIA BLOQUEADA;;;Buenos Aires;Villa Celina; AUTOPISTA RICCHIERI Y BOULOGNE SUR MER - MERCADO CENTRAL DE BUENOS AIRES Sin Nro. 1º Ofic. 118 (CP 1770) VILLA CELINA, Buenos Aires  
Cámara de Ópticas de Misiones;COM;8/1/2015;NO;SI;SI;SI;Vencida;31/10/2019;Maria del Carmen Rivas;31/10/2019;30672345673;OK;;;Misiones;Posadas; RIVADAVIA 1642 5 E (CP 3300) POSADAS, Misiones  
Cámara de Ópticas y Ópticos del Chaco;COOCH;11/3/2010;NO;NO;SI;NO;Vencida;1/1/2021;José Luis Pastor;1/1/2021;30653533051;OK;;;Chaco;Resistencia; Pueyrredon 208 2 1 (CP 3500) RESISTENCIA, Chaco  
Cámara de Panaderos de la Provincia de La Pampa;CAPANPA;13/4/2016;NO;SI;SI;SI;Vencida;30/7/2017;Eduardo Duscher;30/7/2017;30671712060;BAJA DE OFICIO;;;La Pampa;Santa Rosa; Gral Pico 26 (CP 6300) La Pampa   NEUQUEN 876 (CP 6300) SANTA ROSA, La Pampa  
Cámara de Pasas de Uvas y Afines de San Juan;;3/12/2009;NO;NO;NO;SI;Vencida;1/1/2021;Francisco Meló Grau;1/1/2021;30708073462;BAJA DE OFICIO;;;San Juan;San Juan; LIBERTADOR GENERAL SAN MART 575 (CP 5400) SAN JUAN, San Juan  
Cámara de Pequeñas Industrias de la Región;CAPIR;19/9/2013;NO;SI;SI;SI;SIN NOMINA;SIN NOMINA;SIN NOMINA;0/1/1900;30700363615;OK;;;Santa Fe;Rafaela; NECOCHEA 84 1º (CP 2300) RAFAELA, Santa Fe  
Cámara de Pequeñas y Medianas Empresas de Formosa;CAPYMEF;26/9/2000;SI;SI;SI;SI;Vigente;5/5/2025;Carlos Alejandro Werlen;5/5/2025;30627428835;OK;;;Formosa;Formosa; Maipú 658 (CP 3600) FORMOSA, Formosa  
Cámara de Perfumerías de Argentina;;00/00/0000;NO;SI;SI;SI;Vencida;31/12/2022;Julio Pedro Vázquez;31/12/2022;30551299836;OK;;;CABA;; Bonpland 2331 (CP 1425) Ciudad Autónoma de Buenos Aires  
Cámara de Prestadores Postales de la República Argentina;;17/9/1998;NO;NO;NO;NO;Vencida;1/1/2021;Jose Raul Ongaro;1/1/2021;0;SIN CUIT;SI;31/08/1998;CABA;;" RODRIGUEZ PEÑA 145 Piso 6 Of. ""D"" (CP 1020) Ciudad Autónoma de Buenos Aires  "
Cámara de Producción, Industria, Comercio y Servicios de Henderson;;2/7/2009;NO;NO;NO;NO;Vencida;1/1/2021;Huala Julio (Vice);1/1/2021;30609574271;BAJA DE OFICIO;;;Buenos Aires;Henderson; YRIGOYEN HIPOLITO 119 (CP 6465) Ciudad Autónoma de Buenos Aires  
Cámara de Productores de Tabaco (Tucumán);;24/4/2010;NO;NO;SI;NO;Vigente;31/12/2024;Marta Susana Migles;31/12/2024;30558237798;OK;;;Tucumán;Juan Bautista Alberdi; Campero 698 (CP 4158) JUAN BAUTISTA ALBERDI, Tucumán  
Camara de Remises y Agencias de la República Argentina;CRARA;19/11/2020;NO;SI;SI;SI;Vigente;16/12/2027;Gino Marin;16/12/2027;30716077825;OK;;;CABA;; Av. Rivadavia 2134 5 (CP ) Ciudad Autónoma de Buenos Aires  
Cámara de San Fernando de Industria, Comercio y Servicios;CASAFICO;00/00/0000;Si;SI;SI;SI;Vigente;22/9/2024;Gustavo Bresolini;22/9/2024;30708255935;OK;;;Buenos Aires;San Fernando; QUIRNO COSTA 1333 (CP 1646) SAN FERNANDO, Buenos Aires  
